participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.1677682,2026-08-27T18:51:12.167768+00:00,0.020874500274658203,548398.937,1,839022261951,839022249377,1.2574,1,1,1,1,856.8451118487914,332.4216669897733,856.8451118487914,332.4216669897733,1.5,0.0502011775970459,-0.0461406335234642,-0.03801995515823364,-0.07248826324939728,-0.23156464099884033,0.9701151251792908
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.1905088,2026-08-27T18:51:12.190509+00:00,0.043615102767944336,548398.953,2,839022595151,839022582716,1.2435,1,1,1,1,851.3782086278795,334.210202896041,854.5490124960085,333.1728520704057,1.5,0.05018465220928192,-0.04555302858352661,-0.03799284249544144,-0.07109709829092026,-0.22695200145244598,0.9713074564933777
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.2222023,2026-08-27T18:51:12.222202+00:00,0.07530856132507324,548398.984,3,839022928351,839022916054,1.2297,1,1,1,1,837.8978791263075,335.8805536541015,847.5555364807341,334.310086735558,1.5,0.05015028640627861,-0.04510273039340973,-0.03795170783996582,-0.07014648616313934,-0.21493861079216003,0.9741052985191345
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.2483258,2026-08-27T18:51:12.248326+00:00,0.10143208503723145,548399.015,4,839023261551,839023249393,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.2901387,2026-08-27T18:51:12.290139+00:00,0.14324498176574707,548399.062,5,839023594751,839023582731,1.202,1,1,1,1,815.7394308724479,332.30627292024104,815.7394308724479,332.30627292024104,1.5,0.050109900534152985,-0.04762350767850876,-0.0380086787045002,-0.07461801171302795,-0.19310948252677917,0.9783357381820679
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.3306391,2026-08-27T18:51:12.330639+00:00,0.1837453842163086,548399.093,6,839023927951,839023916070,1.1881,1,1,1,1,807.0594543762936,331.46512937651715,812.0938407440631,331.952992631877,1.5,0.05010219290852547,-0.049562711268663406,-0.03804892301559448,-0.07585344463586807,-0.18385064601898193,0.980023205280304
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.3485692,2026-08-27T18:51:12.348569+00:00,0.2016754150390625,548399.125,7,839024261151,839024293121,3.197,1,1,1,1,799.9459225078951,333.29439799606666,806.9917150848726,332.5163828848367,1.5,0.050096072256565094,-0.05140068754553795,-0.038085855543613434,-0.07463851571083069,-0.17551258206367493,0.9816437363624573
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.3833597,2026-08-27T18:51:12.383360+00:00,0.2364659309387207,548399.156,8,839024594350,839024621784,2.7434,1,1,1,1,798.7161290205879,333.00721909071683,803.515968937873,332.72253409130633,1.5,0.05008463189005852,-0.05182832106947899,-0.03808411955833435,-0.0749676302075386,-0.17414920032024384,0.9818615317344666
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.4155445,2026-08-27T18:51:12.415545+00:00,0.26865077018737793,548399.187,9,839024927550,839024955123,2.7573,1,1,1,1,798.1350394052741,331.4841311976629,801.2559785341816,332.20240487597613,1.5,0.05007081478834152,-0.05126307159662247,-0.038060832768678665,-0.0764903724193573,-0.17401637136936188,0.9817675948143005
P001,P001_S01,P001_S01_ST1TR_TR03_R01,TR03,R01,Gridworld_Requested_Voice,Study 1,Gridworld,Requested Feedback,Voice,1,1787856672.1468937,1787856672.4495814,2026-08-27T18:51:12.449581+00:00,0.3026876449584961,548399.218,10,839025260750,839025288461,2.7711,1,1,1,1,794.7476289605099,326.85954620648954,798.5224717132396,329.95840423479183,1.5,0.05004144459962845,-0.049610160291194916,-0.038013115525245667,-0.0810033529996872,-0.1720839887857437,0.9817461967468262
