participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,step,selected_step,pause_step,steps_back,feedback_timing,modality,requested,skipped,timeout,state_row,state_col,action,action_name,request_timestamp,pause_timestamp,response_timestamp,response_latency_ms
P001,P001_S01,P001_S01_ST1TR_TR01_R02,TR01,R02,Gridworld_Requested_Keyboard,1,15,6,6,,,Requested Feedback,Keyboard,1,0,0,0,2,3,RIGHT,1787760869.756014,,1787760871.589873,1833.859
P001,P001_S01,P001_S01_ST1TR_TR01_R02,TR01,R02,Gridworld_Requested_Keyboard,1,28,9,9,,,Requested Feedback,Keyboard,1,0,0,0,3,3,RIGHT,1787760875.293882,,1787760876.618986,1325.104
P001,P001_S01,P001_S01_ST1TR_TR01_R02,TR01,R02,Gridworld_Requested_Keyboard,1,42,11,11,,,Requested Feedback,Keyboard,1,0,0,4,1,0,UP,1787760882.884948,,1787760884.357383,1472.435
