timestamp_utc_ns,monotonic_ns,trial_id,request_id,action,modality,source_detail
1787856871548998500,548598312000000,P001_S01_ST1ST_T01_R02,bf4fb552-4b3b-4c73-a4cc-a1040bbf8bae,0,Keyboard,keyboard
1787856872023504700,548598796000000,P001_S01_ST1ST_T01_R02,e549974f-1dc1-48fc-975f-02e01c77d7ae,0,Keyboard,keyboard
1787856873984604800,548600750000000,P001_S01_ST1ST_T01_R02,c5e9f4f7-fc94-42d9-918c-7d8ac5d1c788,1,Keyboard,keyboard
1787856875546103500,548602312000000,P001_S01_ST1ST_T01_R02,902dc2bf-85d9-413c-a492-37ffe40e5f7c,0,Keyboard,keyboard
1787856875999549900,548602765000000,P001_S01_ST1ST_T01_R02,b4882cc3-d786-4261-8a25-8cb27906c36b,0,Keyboard,keyboard
1787856876449512200,548603218000000,P001_S01_ST1ST_T01_R02,44d67d85-6bab-425b-acdd-ee199a03b820,0,Keyboard,keyboard
1787856877041504500,548603812000000,P001_S01_ST1ST_T01_R02,1e30888f-648a-474e-8bf5-e5f28b4aec36,0,Keyboard,keyboard
1787856877919689100,548604687000000,P001_S01_ST1ST_T01_R02,c1488891-7aa0-4ea2-968f-8fa12bfd673a,0,Keyboard,keyboard
1787856878847640100,548605625000000,P001_S01_ST1ST_T01_R02,ec67613b-1721-4f66-9d40-cc119d4cc23b,0,Keyboard,keyboard
1787856880215584300,548606984000000,P001_S01_ST1ST_T01_R02,9c6bc737-6c85-4883-9201-81d3df8e9544,4,Keyboard,keyboard
1787856880835723400,548607609000000,P001_S01_ST1ST_T01_R02,12f452ef-c787-47e9-87e6-9da2c6d3054f,4,Keyboard,keyboard
1787856881469146200,548608234000000,P001_S01_ST1ST_T01_R02,bb762254-d74e-41fe-850d-e77466a448bf,4,Keyboard,keyboard
1787856883092243500,548609859000000,P001_S01_ST1ST_T01_R02,376d0778-4e7e-40af-8a44-dae2c93e9791,3,Keyboard,keyboard
1787856883574179800,548610343000000,P001_S01_ST1ST_T01_R02,42907fe6-cc9d-42ac-92fc-4be4dd17c4ca,5,Keyboard,keyboard
1787856884142856300,548610906000000,P001_S01_ST1ST_T01_R02,d3dc904d-d885-423d-afae-1c277a2313e5,5,Keyboard,keyboard
1787856884789680800,548611562000000,P001_S01_ST1ST_T01_R02,965bdcdb-d85f-48fe-ab98-23dd7375b412,5,Keyboard,keyboard
1787856885289359200,548612062000000,P001_S01_ST1ST_T01_R02,5ce5140f-8573-40b4-a541-45c44781b5f1,3,Keyboard,keyboard
1787856885793302200,548612562000000,P001_S01_ST1ST_T01_R02,400c0aac-4133-49a7-b13c-b15ad7abb867,3,Keyboard,keyboard
1787856886291131000,548613062000000,P001_S01_ST1ST_T01_R02,4aa88f8a-e838-4832-84d0-f4b46f8890a4,3,Keyboard,keyboard
1787856886797443500,548613562000000,P001_S01_ST1ST_T01_R02,c466814e-62ec-46db-982b-b99d22a9d922,3,Keyboard,keyboard
1787856887507253200,548614281000000,P001_S01_ST1ST_T01_R02,ea946772-01c0-4bcc-8526-f004aea37b4e,3,Keyboard,keyboard
1787856888086989600,548614859000000,P001_S01_ST1ST_T01_R02,893e8078-c48e-4c00-8bb3-b263cba5eadb,3,Keyboard,keyboard
1787856890195963600,548616968000000,P001_S01_ST1ST_T01_R02,27542dc6-e824-4ae6-b7ad-043a9a300ac8,0,Keyboard,keyboard
1787856890755810500,548617531000000,P001_S01_ST1ST_T01_R02,27cd2e0b-7019-4638-90b6-c1b15078e6a4,0,Keyboard,keyboard
1787856891285063800,548618062000000,P001_S01_ST1ST_T01_R02,8b080042-2b26-4403-bfef-735d73471e79,0,Keyboard,keyboard
1787856891830951800,548618593000000,P001_S01_ST1ST_T01_R02,842aad97-a2d0-4dda-b908-10f2729a204b,0,Keyboard,keyboard
1787856892899878900,548619671000000,P001_S01_ST1ST_T01_R02,29036d99-7d66-4e36-823b-f2aede937ad8,3,Keyboard,keyboard
1787856893394217900,548620156000000,P001_S01_ST1ST_T01_R02,576bc139-432f-4ba1-bcfc-3f7cdc937a1c,3,Keyboard,keyboard
1787856894050993800,548620828000000,P001_S01_ST1ST_T01_R02,8ba838ea-bb32-462e-b262-a35a740b3e58,1,Keyboard,keyboard
1787856894776943100,548621546000000,P001_S01_ST1ST_T01_R02,9267235a-bd25-4aa6-af35-1ebb6c7c43c9,3,Keyboard,keyboard
1787856895295074700,548622062000000,P001_S01_ST1ST_T01_R02,9f2e8cb1-4146-4ab5-940c-186abe642d51,3,Keyboard,keyboard
1787856895872256700,548622640000000,P001_S01_ST1ST_T01_R02,0dc8f37d-4256-4312-8d33-9eb4844cbc8a,3,Keyboard,keyboard
1787856898460896600,548625234000000,P001_S01_ST1ST_T01_R02,c8840369-601f-4212-8635-bf371320f388,6,Keyboard,keyboard
1787856899376388900,548626140000000,P001_S01_ST1ST_T01_R02,f0564c75-cd84-49eb-87c1-b752ccc19e5b,3,Keyboard,keyboard
1787856900080723700,548626843000000,P001_S01_ST1ST_T01_R02,3049803d-6dc0-456f-898a-0f3cccd22ae8,3,Keyboard,keyboard
1787856900703084700,548627468000000,P001_S01_ST1ST_T01_R02,602f2e3f-169e-45de-aff2-491473369136,5,Keyboard,keyboard
1787856901360049700,548628125000000,P001_S01_ST1ST_T01_R02,3cc0fe0c-d57c-4e72-8270-40facf97878b,3,Keyboard,keyboard
1787856901930475500,548628703000000,P001_S01_ST1ST_T01_R02,cf3d53e5-2fa6-432a-89ac-bb4b65bc157f,5,Keyboard,keyboard
1787856902597229200,548629359000000,P001_S01_ST1ST_T01_R02,ab9477d1-fb45-47c1-929a-917c333bf305,3,Keyboard,keyboard
1787856903389227600,548630156000000,P001_S01_ST1ST_T01_R02,09377fa5-2db1-4128-ba6d-a09d2f4af7a5,3,Keyboard,keyboard
1787856904045481900,548630812000000,P001_S01_ST1ST_T01_R02,76d9adcf-1d7d-4b8b-a550-d6562ea733c8,3,Keyboard,keyboard
1787856905072583000,548631843000000,P001_S01_ST1ST_T01_R02,38c188f2-48c0-4ea1-9d11-6a2a058e66e2,5,Keyboard,keyboard
1787856906518002900,548633281000000,P001_S01_ST1ST_T01_R02,f2052714-2720-4475-9183-085608010a3f,3,Keyboard,keyboard
1787856907020563100,548633796000000,P001_S01_ST1ST_T01_R02,44053e85-2b4b-4366-8b35-df49bc3d8d0a,5,Keyboard,keyboard
1787856907832976900,548634609000000,P001_S01_ST1ST_T01_R02,00d881a5-645e-45ee-b4c0-4f6dec6bd019,5,Keyboard,keyboard
1787856908408751900,548635171000000,P001_S01_ST1ST_T01_R02,2afce462-8b0b-4c7e-b2dc-e593e9b68b49,5,Keyboard,keyboard
1787856909156502100,548635921000000,P001_S01_ST1ST_T01_R02,e40abbb7-7b1a-4a34-8324-3c002982b752,3,Keyboard,keyboard
1787856909670464000,548636437000000,P001_S01_ST1ST_T01_R02,a2dcefbb-4cf8-4eaf-a88f-346e5d8706b0,3,Keyboard,keyboard
1787856910210175100,548636984000000,P001_S01_ST1ST_T01_R02,0c328ce7-5e08-453d-8d87-c56aede34d70,3,Keyboard,keyboard
