participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5401845,2026-08-27T18:51:04.540184+00:00,0.02551746368408203,548391.312,1,838946441285,1,1,0.0504770465195179,-0.04830174893140793,-0.0378415621817112,-0.03888691961765289,-0.1437547206878662,0.9888491630554199,1,0.050353895872831345,-0.014257792383432388,-0.03700300678610802,-0.04040062427520752,-0.2186724990606308,0.9749616384506226,1,0.05059563368558884,-0.0828896164894104,-0.03870192915201187,-0.037983573973178864,-0.06987025588750839,0.9968327283859253
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5411904,2026-08-27T18:51:04.541190+00:00,0.026523351669311523,548391.312,2,838946552399,1,1,0.050477687269449234,-0.04843326285481453,-0.0378437414765358,-0.038911305367946625,-0.14348652958869934,0.9888871312141418,1,0.050350308418273926,-0.014257550239562988,-0.03700922802090645,-0.0399625338613987,-0.21923516690731049,0.9748532772064209,1,0.050589364022016525,-0.08288418501615524,-0.03869646042585373,-0.03762965649366379,-0.069743312895298,0.9968550801277161
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5481846,2026-08-27T18:51:04.548185+00:00,0.03351759910583496,548391.312,3,838946663512,1,1,0.05047719553112984,-0.04874312877655029,-0.03785255178809166,-0.03940023481845856,-0.1428578943014145,0.9889587163925171,1,0.050338372588157654,-0.014260737225413322,-0.037006817758083344,-0.041373174637556076,-0.21926601231098175,0.9747874736785889,1,0.05057501792907715,-0.08290400356054306,-0.03871949017047882,-0.03899918124079704,-0.07175049185752869,0.9966598749160767
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5681846,2026-08-27T18:51:04.568185+00:00,0.05351758003234863,548391.343,4,838946774623,1,1,0.05047609284520149,-0.049177441745996475,-0.03786580264568329,-0.03976365178823471,-0.14129416644573212,0.9891687631607056,1,0.05033041164278984,-0.014270823448896408,-0.03700140118598938,-0.04148387536406517,-0.21989351511001587,0.9746413826942444,1,0.050572339445352554,-0.08289957791566849,-0.038728006184101105,-0.039153508841991425,-0.07074698805809021,0.9967256188392639
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5681846,2026-08-27T18:51:04.568185+00:00,0.05351758003234863,548391.343,5,838946885737,1,1,0.050473883748054504,-0.04960688203573227,-0.0378793329000473,-0.0405898317694664,-0.1394568383693695,0.9893959760665894,1,0.05031812563538551,-0.014253468252718449,-0.03701132535934448,-0.04304173216223717,-0.21777161955833435,0.9750502109527588,1,0.05056138336658478,-0.08290311694145203,-0.038735873997211456,-0.0409284271299839,-0.07095927745103836,0.9966391921043396
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5893903,2026-08-27T18:51:04.589390+00:00,0.0747232437133789,548391.359,6,838946996850,1,1,0.050470251590013504,-0.04986606165766716,-0.037887804210186005,-0.040968868881464005,-0.1402311474084854,0.989270806312561,1,0.050309959799051285,-0.014252050779759884,-0.03701568767428398,-0.042516324669122696,-0.2176387906074524,0.975102961063385,1,0.05055836960673332,-0.08288969099521637,-0.038725998252630234,-0.04022246599197388,-0.0694383978843689,0.9967749714851379
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.594391,2026-08-27T18:51:04.594391+00:00,0.07972407341003418,548391.359,7,838947107963,1,1,0.050464943051338196,-0.05000048503279686,-0.037893813103437424,-0.041320011019706726,-0.13949985802173615,0.9893596172332764,1,0.05030776187777519,-0.01425639633089304,-0.03701455146074295,-0.04271300509572029,-0.21847982704639435,0.9749062657356262,1,0.05054158717393875,-0.08288221806287766,-0.03872280195355415,-0.040670473128557205,-0.06903041899204254,0.9967852830886841
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6078205,2026-08-27T18:51:04.607821+00:00,0.09315347671508789,548391.375,8,838947219075,1,1,0.05046061426401138,-0.05038636177778244,-0.037906281650066376,-0.04116683453321457,-0.13792286813259125,0.989587128162384,1,0.05030618607997894,-0.014243319630622864,-0.037024207413196564,-0.041808370500802994,-0.21761788427829742,0.9751381874084473,1,0.05054750293493271,-0.08287931978702545,-0.03872145339846611,-0.03947494924068451,-0.06928069144487381,0.9968159198760986
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6295264,2026-08-27T18:51:04.629526+00:00,0.11485934257507324,548391.406,9,838947330188,1,1,0.05045592039823532,-0.05070636421442032,-0.037916719913482666,-0.04138493165373802,-0.13705693185329437,0.9896983504295349,1,0.05030570551753044,-0.014228638261556625,-0.03703083097934723,-0.04256809502840042,-0.21602687239646912,0.9754590392112732,1,0.0505429208278656,-0.0828595831990242,-0.038706645369529724,-0.04047942906618118,-0.06707374006509781,0.9969265460968018
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6295264,2026-08-27T18:51:04.629526+00:00,0.11485934257507324,548391.406,10,838947441300,1,1,0.050451312214136124,-0.05107846483588219,-0.037927936762571335,-0.041632384061813354,-0.13485606014728546,0.9899902939796448,1,0.05030364915728569,-0.01422448456287384,-0.037028830498456955,-0.043035104870796204,-0.21535851061344147,0.9755862951278687,1,0.05054224655032158,-0.08285519480705261,-0.038708873093128204,-0.04073748365044594,-0.0664164274930954,0.9969600439071655
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6295264,2026-08-27T18:51:04.629526+00:00,0.11485934257507324,548391.406,11,838947552414,1,1,0.05044581741094589,-0.050936173647642136,-0.03792648762464523,-0.04187124967575073,-0.1366477757692337,0.989734411239624,1,0.05030430853366852,-0.01421715784817934,-0.037032242864370346,-0.04315154254436493,-0.21488550305366516,0.9756854772567749,1,0.05054508522152901,-0.08285477757453918,-0.03871236741542816,-0.04075172543525696,-0.0667482390999794,0.9969373345375061
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6477597,2026-08-27T18:51:04.647760+00:00,0.13309264183044434,548391.421,12,838947663528,1,1,0.05044224113225937,-0.05129602178931236,-0.03793702647089958,-0.0422014445066452,-0.13502439856529236,0.9899432063102722,1,0.050303325057029724,-0.014208636246621609,-0.037037722766399384,-0.04367087408900261,-0.21565747261047363,0.9754919409751892,1,0.050539761781692505,-0.08285047858953476,-0.038702644407749176,-0.041482679545879364,-0.06780440360307693,0.9968358874320984
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6680653,2026-08-27T18:51:04.668065+00:00,0.1533982753753662,548391.437,13,838947774640,1,1,0.05043841898441315,-0.051239218562841415,-0.03793521970510483,-0.04253767803311348,-0.1356074959039688,0.9898491501808167,1,0.05030279606580734,-0.014204583130776882,-0.037038519978523254,-0.0438959002494812,-0.21485868096351624,0.9756581783294678,1,0.05053776130080223,-0.08282806724309921,-0.038679420948028564,-0.0417102612555027,-0.06501297652721405,0.9970123767852783
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6680653,2026-08-27T18:51:04.668065+00:00,0.1533982753753662,548391.437,14,838947885753,1,1,0.05043574422597885,-0.05136648193001747,-0.03793773055076599,-0.04268288239836693,-0.13370360434055328,0.9901018142700195,1,0.05030220374464989,-0.01418953388929367,-0.037050534039735794,-0.04382467642426491,-0.21493710577487946,0.975644052028656,1,0.05053821951150894,-0.0828208401799202,-0.03867446258664131,-0.041553132236003876,-0.0658360943198204,0.9969648718833923
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6887538,2026-08-27T18:51:04.688754+00:00,0.1740868091583252,548391.453,15,838947996866,1,1,0.05043340474367142,-0.051269788295030594,-0.03793365880846977,-0.04268863797187805,-0.13342969119548798,0.990138590335846,1,0.05030230060219765,-0.014184147119522095,-0.03705531358718872,-0.04353112354874611,-0.2148885279893875,0.9756678938865662,1,0.050537366420030594,-0.08280658721923828,-0.038664620369672775,-0.04123500734567642,-0.06476520001888275,0.9970481991767883
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.690778,2026-08-27T18:51:04.690778+00:00,0.17611098289489746,548391.453,16,838948107979,1,1,0.05043194442987442,-0.05142846331000328,-0.03793669119477272,-0.04307856038212776,-0.13407203555107117,0.9900348782539368,1,0.0502956323325634,-0.014185149222612381,-0.03705442324280739,-0.044593844562768936,-0.21564659476280212,0.9754526615142822,1,0.05053233727812767,-0.0828135684132576,-0.038671739399433136,-0.042362019419670105,-0.0662526935338974,0.9969033598899841
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7076879,2026-08-27T18:51:04.707688+00:00,0.19302082061767578,548391.484,17,838948219091,1,1,0.0504307858645916,-0.051598720252513885,-0.03793972358107567,-0.0437186062335968,-0.1331593245267868,0.9901300072669983,1,0.050292566418647766,-0.014188471250236034,-0.03704925626516342,-0.04561980441212654,-0.21586881577968597,0.9753561019897461,1,0.050522059202194214,-0.08281596750020981,-0.03867141902446747,-0.04359335079789162,-0.06640519946813583,0.9968400001525879
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7076879,2026-08-27T18:51:04.707688+00:00,0.19302082061767578,548391.484,18,838948330205,1,1,0.050428591668605804,-0.051669664680957794,-0.03793853893876076,-0.04457341507077217,-0.13204076886177063,0.9902416467666626,1,0.05028586462140083,-0.014195055700838566,-0.03704311326146126,-0.04691936448216438,-0.21663129329681396,0.9751253128051758,1,0.05051947757601738,-0.08279824256896973,-0.03865214064717293,-0.044736217707395554,-0.06444817036390305,0.9969177842140198
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7309492,2026-08-27T18:51:04.730949+00:00,0.21628212928771973,548391.5,19,838948441319,1,1,0.05042707547545433,-0.05182351917028427,-0.03794114664196968,-0.04477749764919281,-0.13129232823848724,0.9903320074081421,1,0.050287313759326935,-0.014174340292811394,-0.03706171736121178,-0.04581673443317413,-0.21446837484836578,0.975655734539032,1,0.05052044987678528,-0.08280021697282791,-0.038659609854221344,-0.043692056089639664,-0.0648551806807518,0.9969376921653748
